RCS,DATE,EFFECTIFS,NATURE
382369437,2021-06-25,21,jugement de conversion en liquidation judiciaire
432182863,2021-06-25,21,jugement de conversion en liquidation judiciaire
384636643,2021-06-25,21,jugement de conversion en liquidation judiciaire
494968472,2021-06-24,21,jugement de clôture pour insuffisance d'actif
413165093,2021-07-13,21,jugement de clôture pour insuffisance d'actif
810992800,2021-07-15,21,jugement de conversion en liquidation judiciaire
520425000,2021-07-22,21,jugement de conversion en liquidation judiciaire
822161683,2021-09-02,21,jugement d'ouverture de liquidation judiciaire
390895696,2021-09-02,21,jugement de clôture pour insuffisance d'actif
421411562,2021-09-03,21,jugement de conversion en liquidation judiciaire de la procédure de sauvegarde
380771733,2021-09-03,21,jugement de clôture pour insuffisance d'actif
444818827,2021-09-08,21,jugement de conversion en liquidation judiciaire
533947305,2021-09-13,21,jugement de conversion en liquidation judiciaire de la procédure de sauvegarde
94130994,2021-09-10,21,jugement de conversion en liquidation judiciaire
389205592,2021-09-17,21,jugement d'ouverture de liquidation judiciaire
449399492,2021-09-29,21,jugement de conversion en liquidation judiciaire
798207817,2021-09-22,21,jugement d'ouverture de liquidation judiciaire
378600308,2021-10-05,21,jugement d'ouverture de liquidation judiciaire
338276090,2021-10-06,21,jugement d'ouverture de liquidation judiciaire
397992512,2021-10-15,21,jugement de conversion en liquidation judiciaire
418827119,2020-12-29,12,jugement de conversion en liquidation judiciaire
823001672,2020-12-28,12,jugement de conversion en liquidation judiciaire
477522247,2020-12-16,12,jugement de conversion en liquidation judiciaire
801292624,2020-12-23,12,jugement de conversion en liquidation judiciaire
406720177,2020-12-08,12,jugement de clôture pour insuffisance d'actif
514893817,2020-12-22,12,jugement d'ouverture de liquidation judiciaire
400749669,2020-12-18,12,jugement de conversion en liquidation judiciaire
307300426,2020-12-21,12,jugement de conversion en liquidation judiciaire
384178737,2020-12-21,12,jugement de conversion en liquidation judiciaire
514132901,2020-12-22,12,jugement d'ouverture de liquidation judiciaire
401816210,2020-12-23,12,jugement de conversion en liquidation judiciaire
451403331,2020-12-01,12,jugement de conversion en liquidation judiciaire
813658226,2021-01-08,12,jugement de conversion en liquidation judiciaire
351297486,2021-01-05,12,jugement d'ouverture de liquidation judiciaire
524120219,2021-01-04,12,jugement d'ouverture de liquidation judiciaire
520130857,2021-01-11,12,jugement d'extension de liquidation judiciaire
500975966,2021-01-12,12,jugement d'ouverture de liquidation judiciaire
803248160,2021-01-06,12,jugement de conversion en liquidation judiciaire
508102332,2021-01-07,12,jugement de conversion en liquidation judiciaire
531224129,2021-01-07,12,jugement de conversion en liquidation judiciaire
802503276,2021-01-05,12,jugement de clôture pour insuffisance d'actif
685721599,2021-01-13,12,jugement d'ouverture de liquidation judiciaire
638201244,2021-01-08,12,jugement de conversion en liquidation judiciaire
534329560,2021-01-13,12,jugement de clôture pour insuffisance d'actif
789853975,2021-01-12,12,jugement d'ouverture de liquidation judiciaire
794381962,2021-01-20,12,jugement de conversion en liquidation judiciaire
449091941,2021-01-19,12,jugement de conversion en liquidation judiciaire
